name,type,BeaconID,lng,lat,updated_at,Errors_Lon,Errors_Lat,,,Beacon,Avg Err_Lon,Avg Err_Lat,,Lng,Lat
101,mobile,0:01,-0.179474823,0.127936853,3/3/17 7:01,0.033806893,0.016539404,-0.14566793,0.111397449,101,0.036241853,0.022346487,101,-0.14566793,0.111397449
101,mobile,0:01,-0.186710204,0.123656457,3/3/17 7:02,0.041042274,0.012259008,-0.14566793,0.111397449,102,0.047865172,0.053070133,102,-0.149787803,0.0447929
101,mobile,0:01,-0.186710204,0.123656457,3/3/17 7:02,0.041042274,0.012259008,-0.14566793,0.111397449,103,0.09135101,0.065302202,103,-0.153792731,-0.05939288
101,mobile,0:01,-0.186710204,0.123656457,3/3/17 7:02,0.041042274,0.012259008,-0.14566793,0.111397449,104,0.16092513,0.12654199,104,-0.209525963,0.046166191
101,mobile,0:01,-0.186710204,0.123656457,3/3/17 7:02,0.041042274,0.012259008,-0.14566793,0.111397449,105,0.02945083,0.021610955,105,-0.210212608,0.110710805
101,mobile,0:01,-0.186710204,0.123656457,3/3/17 7:02,0.041042274,0.012259008,-0.14566793,0.111397449,106,0.167880695,0.135230249,106,-0.212839759,-0.058578439
101,mobile,0:01,-0.179343256,0.129807612,3/3/17 7:02,0.033675325,0.018410163,-0.14566793,0.111397449,107,0.086562528,0.032216916,107,-0.140861412,0.197914459
101,mobile,0:01,-0.150697667,0.12308977,3/3/17 7:02,0.005029737,0.011692321,-0.14566793,0.111397449,108,0.01932601,0.014273444,108,-0.083183189,0.196541177
101,mobile,0:01,-0.183305132,0.130349267,3/3/17 7:03,0.037637202,0.018951818,-0.14566793,0.111397449,109,0.071004504,0.086464279,109,-0.083183189,0.112084093
101,mobile,0:01,-0.192744081,0.114652291,3/3/17 7:03,0.04707615,0.003254842,-0.14566793,0.111397449,110,0.014735749,0.010991731,110,-0.074256798,0.041359674
101,mobile,0:01,-0.192744081,0.114652291,3/3/17 7:03,0.04707615,0.003254842,-0.14566793,0.111397449,111,0.028266927,0.090754125,111,-0.071845615,-0.057189209
101,mobile,0:01,-0.192744081,0.114652291,3/3/17 7:03,0.04707615,0.003254842,-0.14566793,0.111397449,113,0.018287925,0.035805789,112,-0.008007655,-0.063872307
101,mobile,0:01,-0.180200437,0.120587657,3/3/17 7:06,0.034532506,0.009190208,-0.14566793,0.111397449,114,0.025326056,0.053941238,113,-0.005498613,0.041789915
101,mobile,0:01,-0.18641877,0.139657375,3/3/17 7:51,0.040750839,0.028259927,-0.14566793,0.111397449,115,0.051048546,0.038317295,114,-0.004384895,0.111388169
101,mobile,0:01,-0.175898028,0.132949827,3/3/17 7:51,0.030230098,0.021552378,-0.14566793,0.111397449,124,0.118252177,0.040972837,115,-0.006729579,0.198973602
101,mobile,0:01,-0.189544071,0.146142554,3/3/17 7:51,0.043876141,0.034745105,-0.14566793,0.111397449,,,,116,0.066723271,-0.06452644
101,mobile,0:01,-0.189544071,0.146142554,3/3/17 7:51,0.043876141,0.034745105,-0.14566793,0.111397449,,,,117,,
101,mobile,0:01,-0.189544071,0.146142554,3/3/17 7:51,0.043876141,0.034745105,-0.14566793,0.111397449,,,,124,-0.209525996,0.200661025
101,mobile,0:01,-0.172299528,0.139634902,3/3/17 7:51,0.026631597,0.028237453,-0.14566793,0.111397449,,,,,,
101,mobile,0:01,-0.172299528,0.139634902,3/3/17 7:51,0.026631597,0.028237453,-0.14566793,0.111397449,,,,,,
101,mobile,0:01,-0.172299528,0.139634902,3/3/17 7:51,0.026631597,0.028237453,-0.14566793,0.111397449,,,,,,
